hst_id,url
jbsr05010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jbsr05010_drc.fits
ie3b84020,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/ie3b84020_drc.fits
ibv402020,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/ibv402020_drc.fits
jdk901020,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jdk901020_drc.fits
hst_skycell-p2135x09y06_acs_wfc_f555w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p2135x09y06_acs_wfc_f555w_all_drc.fits
hst_15278_07_acs_wfc_f435w_jdkq07,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15278_07_acs_wfc_f435w_jdkq07_drc.fits
icdx6l010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/icdx6l010_drc.fits
jbeo73010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jbeo73010_drc.fits
hst_12444_6c_acs_wfc_f814w_jboi6c,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12444_6c_acs_wfc_f814w_jboi6c_drc.fits
hst_15215_82_wfc3_uvis_f814w_idh282,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15215_82_wfc3_uvis_f814w_idh282_drc.fits
hst_12443_1a_acs_wfc_f814w_jboe1a,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12443_1a_acs_wfc_f814w_jboe1a_drc.fits
hst_11903_33_wfc3_uvis_f814w_ibcd33,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_11903_33_wfc3_uvis_f814w_ibcd33_drc.fits
hst_11600_49_acs_wfc_f775w_jb3749,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_11600_49_acs_wfc_f775w_jb3749_drc.fits
jboebl010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jboebl010_drc.fits
j96f52010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j96f52010_drc.fits
jbtm7d010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jbtm7d010_drc.fits
hst_11615_03_wfc3_uvis_f606w_ib5r03,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_11615_03_wfc3_uvis_f606w_ib5r03_drc.fits
hst_skycell-p1232x18y17_wfc3_uvis_f475w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1232x18y17_wfc3_uvis_f475w_all_drc.fits
hst_12893_45_wfc3_uvis_f555w_ic1r45,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12893_45_wfc3_uvis_f555w_ic1r45_drc.fits
hst_10494_06_acs_wfc_f555w_j9c706,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_10494_06_acs_wfc_f555w_j9c706_drc.fits
hst_12019_12_wfc3_uvis_f814w_ibdm12,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12019_12_wfc3_uvis_f814w_ibdm12_drc.fits
jboi4f010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jboi4f010_drc.fits
hst_skycell-p1896x05y19_acs_wfc_f606w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1896x05y19_acs_wfc_f606w_all_drc.fits
hst_13420_16_acs_wfc_f814w_jcat16,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_13420_16_acs_wfc_f814w_jcat16_drc.fits
hst_12442_ec_acs_wfc_f814w_jbohec,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12442_ec_acs_wfc_f814w_jbohec_drc.fits
hst_15192_02_acs_wfc_f435w_jdhc02,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15192_02_acs_wfc_f435w_jdhc02_drc.fits
hst_14734_46_acs_wfc_f606w_jdan46,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_14734_46_acs_wfc_f606w_jdan46_drc.fits
j90r12030,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j90r12030_drc.fits
jc6hc7010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jc6hc7010_drc.fits
hst_16252_08_acs_wfc_f606w_jeex08,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_16252_08_acs_wfc_f606w_jeex08_drc.fits
hst_15173_01_acs_wfc_f555w_jdk901,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15173_01_acs_wfc_f555w_jdk901_drc.fits
jdy006010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jdy006010_drc.fits
hst_12238_07_acs_wfc_f475w_jbhr07,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12238_07_acs_wfc_f475w_jbhr07_drc.fits
hst_15977_02_acs_wfc_f435w_je0z02,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15977_02_acs_wfc_f435w_je0z02_drc.fits
hst_12445_8p_acs_wfc_f814w_jbtm8p,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12445_8p_acs_wfc_f814w_jbtm8p_drc.fits
hst_12442_dh_acs_wfc_f814w_jbohdh,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12442_dh_acs_wfc_f814w_jbohdh_drc.fits
jb2g02010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jb2g02010_drc.fits
hst_11600_41_acs_wfc_f775w_jb3741,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_11600_41_acs_wfc_f775w_jb3741_drc.fits
hst_11600_11_acs_wfc_f775w_jb3711,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_11600_11_acs_wfc_f775w_jb3711_drc.fits
hst_skycell-p1411x07y04_acs_wfc_f814w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1411x07y04_acs_wfc_f814w_all_drc.fits
hst_12442_ba_acs_wfc_f814w_jbohba,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12442_ba_acs_wfc_f814w_jbohba_drc.fits
hst_12442_ee_acs_wfc_f814w_jbohee,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12442_ee_acs_wfc_f814w_jbohee_drc.fits
hst_skycell-p2383x19y06_wfc3_uvis_f814w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p2383x19y06_wfc3_uvis_f814w_all_drc.fits
hst_12443_3g_acs_wfc_f814w_jboe3g,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12443_3g_acs_wfc_f814w_jboe3g_drc.fits
jboi4c010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jboi4c010_drc.fits
jdhr08010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jdhr08010_drc.fits
